label	text_a
0	马路白线沾水后有摩擦力加大的,但是大部分还是会变滑的。
1	真的是 就你们广东人优越？粤语就垃圾？
0	古武术应该是要好多年时间打基础,国外的功夫就比较速成。所以现在古武很难流传,现在基本不会有人花十几年时间来蹲马步,打木人桩。
0	难怪生病了医生要我们多喝水,原来是这样,自带药......
0	这......我的天 忍不了 你们真的觉得这种很???可爱吗
0	我看着感觉吓人,谁敢吃啊?
0	不不不,李玮哪里都比不过怀吉
0	太TM爽了，终于快下架了(看我头像)
0	哈,不是没有遇到对的人是时机没到CI
0	别在这装,直接报号。不知道别乱bb
0	被石化了,然后慢羊羊救了他
0	不会还在用熟练度衡量技术吧
0	蹲污的妹妹，什么要求都行，能给看的，主页有q
0	我群缺话痨，想进的小可爱点我头像w收小可爱们哟
0	额喔~羡慕吗嫉妒吗恨吗 🌝️🌝️
0	放心,剑魔将终结她和她家人
1	迷你狗(尝试一楼)
1	这个表真心不好看，不服来喷
0	你这个头像有点马🐴Bs
0	你好好看了吗,打熊猫的是姓王的
0	那些人要知道被踢的是梦老师,后悔死了都
0	按屏幕不如看我主页
0	几十吨重突然要下来,车子不爆胎
0	其实想想,人家能为了女朋友才去打本该不参加的比赛(有说过不是女朋友的话他就退役了),那么能为女朋友骂人也不是没有可能
0	姐妹我查到了,需要翻墙,然后,下载是美元17.99,人民币100+
0	找个女仆，指挥什么都可以做的那种，无底线05～08女生来(主页有q)
0	算你祖宗 什么玩意儿 这素质在这说别人
0	不管怎么喷,我还是感觉李易峰的吴邪有那味
0	想花多少随便花,没有秘密没有钱
0	来来视频在哪,你叫个啥,说出来
0	我的王啊,您这是怎么了?
1	一名热心的MC玩家牵着一群迷你狗路过
0	团团是靠游戏幽默风趣火的，别黑了APAb
0	蹲一个小朋友主页有q
0	嗯,恶毒,耳朵要聋掉CI
1	总之，田园女权大男子主义pua都该死
1	这只迷你狗居然称自己是狗，哇真诚实BsBS
1	迷你世界上迷你狗我的世界叫我的狗。
0	到达最高的时候车子会掉下来的好不好,,
1	批雳批雳妈妈👩🏻爱你，守护最好的批雳批雳，二刺猿滚粗批雳批雳
1	本人花大价2020年7月份购入8p。现在都5g了。不服来喷
0	希望天蝎真能如愿以偿,回到心心念念的那个人封方宏身边与他再次牵手
0	嫌丢人,这女的说理讲不通,交警都无语了。家里厉害惯了,出来以为都得让着她。
0	你的个性签名也太好笑了吧！Bw✨//@霜霜：我，双子座，喜欢唱歌。学习上记忆力很强，生活上记忆比较差。不喜欢被别人控制，喜欢自由。
1	我不会中文，但我会说迷你狗。我不会英语，但是我会说minidog我不会生物，但我知道迷你没🐴🐴我不会地理，但我知道深圳无🐴玩我不会交际，但我知道🐶败兴
0	知道波塞西不,年龄大,长的年轻,唐晨和波塞西差不多
0	我记得有那种下面带轮子的鞋(ಡωಡ)
0	行了道听途说就别逼逼了。主将被杀了我还不能投靠以前做生意的老关系啊。
0	衡中我梦想学府,加油
0	各位，我马上要遇到一件很恐怖的事情，，，没错就是开学，所以最近阔能不太活跃，扩列阔以加我q，看我主页封面👀✨阿巴阿巴，，早点睡，晚安玛卡巴卡~
0	最想念老版小法 剑姬 卡特
0	觉得我头像好看的到这儿来。
1	mini骂MC抄袭它们!卧槽，连一点的基本素质都没有，迷你狗都不知道MC上架的时间是什么时候，动不动就说MC抄袭mini
0	我开始喜欢你了，你别看我头像是这样，可我现在不了？
0	别喷了，Nike精英训练营，全中国新生代最牛逼的短跑健将基本上都在这里
0	好家伙,一来就看到了那个BsBsBs
0	头像就是茉莉哦
0	不知道他说的到底是不是,讽刺是我的特长
1	慢慢来吧改糊的都会糊慢慢糊吧！（送给偷糖少女AN）快来骂我啊！不把我骂抑郁我看不起你们哦~
0	水影都说了宇智波个个都是帅哥
0	这都几天了,还没想好Bs
0	这路估计有很多人中招我是其中之一太害人了
0	MN 只要你两个月不登就给你删了[/微笑]
0	他妈是好的,但是思想有问题
0	虽然看完火影的都知道面具男是带土,但鬼鲛明明看到了摘下面具的带土,却叫他斑大人,这说明,要么是带土对鬼鲛用了幻术,类似当年操纵第四代水影一样。要么就是带土用了变身术,骗过了鬼鲛。
0	第3个男生也太像白百合了吧
0	可是我喜欢的他没有前任啊
1	废狗怼废狗，说别人一直喷你，你就没喷别人？看人家菜就单挑单挑，你就不菜了？委屈鸡毛，让爸爸替你教训对面的？
0	强迫症发作了。不听使唤,砸了
0	是人是鬼都在秀,只有小明平A带特效
0	感觉好奇怪CO赵无极不认识昊天斗罗,这乌龟不认识不动明王
0	体验服守约猴子都下架了
0	讲不出什么骚辉复。看到小仙女上去赞就行了。
0	多看看新闻,特朗普的禁微信令,在国内如果实施你微信用不了,国内只有少部分人会还用苹果手机,除非你绕过applestore 通过助手下载微信,但是那样子微信没办法及时更新并且存在安全隐患你觉得有人还会因为一个苹果手机而不选择微信吗?如果是你你怎么选择?
0	文献加考古基本可以确定历史A£你也别在这装懂不懂的
0	那个头像有了，男友去哪里领取鸭(ﾟoﾟ;
0	你当上官一二技能不存在嘛
0	男厕和女厕一样大,男厕有2个小便池和3和卫生间,女生只有3个卫生间
0	不是我说，你们能不能别吵了，一个动画片而已，至于吵的这么不可开交么，别人不喜欢某个角色就不喜欢呗，不去看不去理睬自己喜欢不就得了，为啥非要去吵架，给自己找罪受呢
0	一只粉毛路过并留下了痕迹
0	啊这别看我主页（浏览器……懂）
0	铁汁萌看我主页BsBs
0	CI,这评论区老实人太多了,都不把评论看完整的?
0	到了后面就不行了,经常也被一些队友坑哭
0	吃毒蘑菇那段不迷人吗?
0	能别吵就尽量别吵了对两边也不好，一些小宝贝怎么就嘴巴不停一天到晚尽叭叭，人lsy都快粘咱撒野热度上了消停会儿吧都累了天天抱着个手机打字都快颓废了这两天一看评论全是关于撒野的美女姐姐们咱消停消停会儿（我上有老下有小中间一父一母，别杠如果你杠我你就是对的，毕竟我还不想体验社会毒打A«）
0	上次我闺蜜肚子痛 我背了一路 把她背回寝室(嘘 她老重了)
0	我脸忽然黑了,但我说出一句,你们脸也黑了,你们小时候尿过床是吗,哈哈哈哈哈哈哈哈哈哈哈哈哈,是不是尿过,是不是记得
0	说真的要是最后跟灭霸的决战,幻视也在的的话多好
0	看我背景贼好看Bs
0	拍个视频,至于吗女士?
0	虽然是假的  但是这个胸型真不像是假的  除非往里面 比如说硅胶
0	战战就是长得帅，黑粉能不能别黑了
0	魔鬼辣椒?那么多辣椒给你辣进肛门科
0	深圳叫大头虾,很好吃。
0	小编也真是闲的没事尽写些不着调的吸晴。管它瞒报甩锅,甩缸也没用呀,死的是它自己国家的人跟你啥关系。
1	喜讯：迷你世界全网永久下架。（微博已曝）MC的胜利到来了！迷你狗滚出应用市场滚出中国滚出地球
0	荷兰豆老撅个嘴是什么鬼一脸幽怨Bn
0	就是恋爱关系想分就分,又不是谁是谁的私有财产。
0	抑郁的人在水底正常的人在水面我沉浮在中间上不去也下不来.
0	这狐狸是真对胃啊,但感情也是复杂啊
1	小马宝莉为什么和迷你屎界联动呢？因为迷你狗没有马，小马宝莉都是马要送迷你狗马
0	曹操,这歌比我大两个月Bs
0	琅嬅,像极了一个皇后的名字。端庄持重,稳重带跟。
0	怎么不说话了?觉得自己知道第一部有声动画就是有资本了?很了不起?是不是觉得自己比迪士尼还要🐮🍺?
1	一个出来卖的鸡无所谓，一个请演员的废狗，俗称狗男女
0	技术不行。看一眼就算了
0	大家都别吵了我说句很理智的话，实际情况看来国外人是看不起王者荣耀这个游戏的因为没有操作难度可言完全就是手机玩方便娱乐一下。什么世界赛冠军也就一个kpl赛区你硬要说世界冠军我也没办法。再其次看点喷子来说王者荣耀的喷子就只会简单的几句完全无逻辑可言小学生行为，lol逻辑清晰还会写诗
0	bb们点我头像呐~只文字
0	这玩意还德国技术,简单的一逼[/微笑]
0	打不打决定权在美方,由不得我们,触碰底线可能会逼得大陆动武。我看最高层出席北斗开通仪式上好像很不开心
0	看我赶紧给你点了两下
0	说鹿晗这了那了的人你有他好看？你有他能力？你有他有钱？你有他创过的世界纪录？还是说你女朋友有他的好看？别杠了键盘侠们没本事就天天网上瞎比比
0	去年因为巴卫的照片。一晚上追了一部番。最后的结局美炸了
0	你们别吵了，谁知道这个排名是不是真的，胡编乱造的多了去了
1	又是你，上次在路边看到你在咬人，不愧是迷你狗
0	头像有了BsB£
0	没事,挺有个性的,我喜欢
0	当时多少人看好鹿晗和热巴,因为跟关晓彤官宣了,热巴更多人护了
0	小编,你算不算泄密呢?
0	终究是我妻由乃高攀了吗
0	没有，都是我在找他，我问他是有喜欢的人了吗？他说没有，我对他说我们复合好不好？他没回应，他个性签名发表过一句话，说狠话的是他，心里难过的也是他，要说先走的也是他，想问这是什么意思？
0	哪吒是主角,十娘算是女主角
0	高渐离:我的大耗蓝,伤不起Bs
0	肯定办了很多违法事,一拔萝卜必带出泥[/白眼][/白眼][/白眼][/白眼]
0	说的是毁天灭地大法师,不是这种
0	找个女仆妹妹，主页有q
0	都别吵了好吗？人“剑”则无敌，你没听过吗
0	上方关羽无限二出装,超越几个版本的理解
0	学习让我快乐学习让我喜欢,哎,我不是。
0	我先报段位那不就是你加我?你来挑我不是我来找你?神单规矩都不懂了?b站号也发了,就是不来,看点毕竟可以随意装
0	大家别喷了，小编屎吃多了忘记交网费，现在家里才刚刚通网B
1	阿斯玛打不过?他要知道不死二人组的能力他绝对不会输。别口嗨了，你这个营销号。
0	不要卖关子,印度就印度
0	红牛今年唯一的特等奖都让你中了!那我们还喝它干嘛
1	李小龙都不是我们这个时代的，死都死了，谁知道他到底牛不牛逼啊？就光吹，泰森的这种体格，抗击打没的话说，李小龙，这种瘦弱的，能扛住泰森一拳吗，别讲什么技巧，泰森没技巧嘛？硬刚吗？不服来喷我妈蛋的
1	女权就是立牌坊女拳
0	只要哥哥长得帅三观跟着五观跑。真就土狗
0	从小让我们背课文,你们演讲就不能写好背背吗
0	所有的Q特关声音不是一样的嘛
0	确实,你比这凶手厉害多了。
0	啊?我以前在电脑上看就是30多集,现在在土豆视频上看也是30多集,以前我就不知道了
0	你倒是放跳的视频啊,我又不是缺后面的流量CPCP
0	我们班主任老师名字中也有个潘字,我们哪一个年级的女霸王🌝🌝
0	特种作战用的伪装,她们还专门让空姐训练过Bw
1	待会儿就又有人说了，黑化黑白小学生最爱系列，简直放屁，不服来喷，来，上次遇到好几个这么说的
0	五个霸者?一个不死?好的我不用技能直接满血
0	。。。。我不知道你是怎么理解成这样的
0	不好意思,我给水瓶座丢脸了
0	评论区的能别杠了吗？这个剧情本来就是关了灯，看不见周围，要是真关了灯，你们还看个毛线呀
0	死?算是惩罚?死多好啊死了就解脱了,可是她呢,她那么多年怎么长大的,生不如死心灵上身体上的双重摧残,而伤她的人就这么轻易地死了,他们一点罪都没受过,算什么惩罚?
0	他们三个还真不比某些大天位差
0	姿态放的太低了,干嘛,扬别人威风灭自己锐气。
0	是的如果他刚刚往回走他们也许都没了B£B£B£
0	他已经道歉了而且他也挺强的吖别喷了吧(我中立别骂)
0	头像有点，污
0	梦里的地底人小兵,目测至少有龙上神下的水平
0	你是去横店走了一圈吗,请问?咂咂砸
0	那个小手,动作可爱死
1	用迷你狗的🐴灭火
0	看在有老人我就不说话了
0	我们学校停电了,九年级那人都用汽车和电车开着灯照着九年级门口BwBw
0	我只相信个人行为和集体行为,那些日本人属于个人行为吧
0	本末倒置,不知怎么想的
0	这种视频就应该放好运来CJCJCJ
1	日本嫁过去还要改姓呢，那也心甘情愿，在中国提个改姓要求试试，屎都得被喷出来
0	解决不了的,只要父亲还是个男人,就肯定会去把仇人全家换了
0	第一次热评,兄弟萌送我上去斜阳nb!!
0	开玩笑,阴兵能和正常人比颜值BsBs
0	雪人,我和我爸玩的时候老挨骂,说我不会玩A¡
0	吴昕倒真的是时尚杂志超喜欢的高级脸,五官立体轮廓清晰,除了主持人还可以吃时尚这碗饭,这就是传说中的老天爷喂饭吃吧!
0	你🐎不刚从🚽里出来吗,你哪来的
0	被自己人骂惨的剧他也曾火遍韩国日本啊（别杠了解了再来）
1	完了，迷你狗又会来抄袭
0	别吵了，我想知道这啥电视
0	别吵了，所有游戏都是抄袭贪吃蛇Bs
0	双排不咯,我亚索贼溜,鲁班无情!
0	就是,当个明星还怕生,那她当个屁啊
0	淡定的喝了一口水,然后我准备给女娲打个电话问问我是什么情况
1	大清国复辟啦！！！！！
1	我的话，打死第一个女的，ex
0	咋滴别人家破产对你来说也是娱乐是吗?
0	这种电影印度人要出来特特么自然,换其他人演的话估计就只剩尴尬了
0	最后一个问题,糖多吗?CO刀什么的无所谓,就怕有尬的剧情
0	谭望嵩那脚我还清晰记得,当时有多少人想上去直接打死他?我看至少得几十万
0	还真就去百度啦CPCP行吧,你也别说话了,有点恶心哈,既然你知道这么多军队黑幕,那你不会是某监察部门的吧,失礼失礼,我可没资格跟你说话啊
0	血脉再纯不是族长不可能是麒麟
0	这是真的,请不要误导他人。
0	我肯定怼他,谁我都怼,凯凯会温柔一点的CP
0	你在玩什么梗?茄子的梗你用卢本伟身上?
0	可乐开了矿物透视了吧~
0	那杀人没杀死是不是也能这么判[/弱]
0	凭本事刷到的,不要客气
0	你们信吗?一节钮扣电池,最少也得1.5伏,那么多节串联,的多少伏?
0	有进光遇群的吗，人比较少，多来点人吧，进群看我主页
0	笑别人的鞋,呵呵,你们的鞋又好得到哪里去AaAaAa
0	都在养伤,卡尔应该恢复了。不过克力架伤的太重
0	哈哈哈哈,怕是连片头都活不过🌚
0	妈妈妈妈妈妈,真是跟哈士奇一样蠢!
0	主要是,时间不够吧,前十就算每一把都赢,起码11天不吃不睡,才可能赛季前三个星期上前400,所以楼主很可能在吹牛,有可能他上过战神,但是上前十是不可能的,前十少有不认识的ID,我也是学生,现在皇冠
0	我两千场辅助 拿辅助上的荣耀 我可能玩的不够吧 还是玩的太少了 不懂辅助的累 A¬A¬A¬
0	屏幕太宽了,没有提现宽视觉效果
0	这里诗韵茶馆  14级以上的/主播/骑士 可不带马甲
0	我想要这张图做头像，有没有大哥能帮我处理出来
0	怕什么。我们又不需要进口印度产品
1	海贼王难看死
0	一颗❤️带找全图先祖➕光之翼，无伤带过暴风眼，互❤️🔥滴滴，主页有🐧（备注来意），光遇两个号（大号肝卡卡，小号肝龙骨）。都🉑加，来个固玩也🉑。要乖，主动牵手手不撒手。跑完图给你弹琴（虽然不太会），带你调戏小龙瞎。＜虽然我现在还不是帅哥，但是你来了，我就是你的帅哥呢＞AAAB²
0	她用行动证明自己胸小
